,database,natural language q,sql,sql_result,sparql,sparql_result,difficulty,match,score,exception
0,voter_1,How many states are there?,SELECT count(*) FROM area_code_state,"(305,)",select (count( *) as ?aggregation_all) where { ?t1 a dbo:area_code_state .        },"('head', 'results'), ('head', 'results')",easy,False,0,
1,voter_1,"List the contestant numbers and names, ordered by contestant name descending.","SELECT contestant_number ,  contestant_name FROM contestants ORDER BY contestant_name DESC","(2, 'Tabatha Gehling'), (8, 'Nita Coster'), (11, 'Loraine NygrenTania Mattioli'), (9, 'Kurt Walser'), (3, 'Kelly Clauss'), (6, 'Jessie Eichman'), (4, 'Jessie Alloway'), (10, 'Ericka Dieter'), (1, 'Edwina Burnam'), (7, 'Allie Rogalski'), (5, 'Alana Bregman')",select ?t1_contestant_number ?t1_contestant_name where { ?t1 a dbo:contestants . ?t1 dbo:contestants\#contestant_number ?t1_contestant_number . ?t1 dbo:contestants\#contestant_name ?t1_contestant_name . ?t1 dbo:contestants\#contestant_name ?t1_contestant_name .        }  order by desc (?t1_contestant_name),"('head', 'results'), ('head', 'results')",medium,False,0,
2,voter_1,"List the vote ids, phone numbers and states of all votes.","SELECT vote_id ,  phone_number , state FROM votes as T1 join area_code_state as T2 on T1.area_code = T2.area_code",,select ?t1_vote_id ?t1_phone_number ?t2_state where { votes as t1 join area_code_state as t2        },,medium,,-2,"QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. 

Response:
b'MALFORMED QUERY: Lexical error at line 1, column 98.  Encountered: "" "" (32), after : ""votes""'"
3,voter_1,What are the maximum and minimum values of area codes?,"SELECT max(area_code) ,  min(area_code) FROM area_code_state","(989, 201)",select (max( ?t1_area_code) as ?aggregation_t1_area_code_3 ) (min( ?t1_area_code) as ?aggregation_t1_area_code_416 ) where { ?t1 a dbo:area_code_state . ?t1 dbo:area_code_state\#area_code ?t1_area_code . ?t1 dbo:area_code_state\#area_code ?t1_area_code .        },"('head', 'results'), ('head', 'results')",medium,False,0,
4,voter_1,What is last date created of votes from the state 'CA'?,SELECT max(created) FROM votes as T1 join area_code_state as T2 on T1.area_code = T2.area_code WHERE state  =  'CA',,select (max( ?t1_created) as ?aggregation_t1_created_50 ) where { votes as t1 join area_code_state as t2 FILTER(?t2_state = 'CA') .        },,medium,,-2,"QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. 

Response:
b'MALFORMED QUERY: Lexical error at line 1, column 110.  Encountered: "" "" (32), after : ""votes""'"
5,voter_1,What are the names of the contestants whose names are not 'Jessie Alloway',SELECT contestant_name FROM contestants WHERE contestant_name != 'Jessie Alloway',"('Edwina Burnam',), ('Tabatha Gehling',), ('Kelly Clauss',), ('Alana Bregman',), ('Jessie Eichman',), ('Allie Rogalski',), ('Nita Coster',), ('Kurt Walser',), ('Ericka Dieter',), ('Loraine NygrenTania Mattioli',)",select ?t1_contestant_name where { ?t1 a dbo:contestants . ?t1 dbo:contestants\#contestant_name ?t1_contestant_name . ?t1 dbo:contestants\#contestant_name ?t1_contestant_name . FILTER(?t1_contestant_name != 'Jessie Alloway') .        },"('head', 'results'), ('head', 'results')",easy,False,0,
6,voter_1,What are the distinct states and create time of all votes?,"SELECT DISTINCT state , created FROM votes as T1 join area_code_state as T2 on T1.area_code = T2.area_code",,select distinct ?t1_state ?t2_created where { area_code_state as t1 join votes as t2        },,medium,,-2,"QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. 

Response:
b'MALFORMED QUERY: Encountered "" ""a"" ""a """" at line 1, column 85.\nWas expecting one of:\n    ""("" ...\n    ""{"" ...\n    ""}"" ...\n    ""["" ...\n    <NIL> ...\n    <ANON> ...\n    ""select"" ...\n    ""optional"" ...\n    ""graph"" ...\n    ""minus"" ...\n    ""filter"" ...\n    ""true"" ...\n    ""false"" ...\n    ""bind"" ...\n    ""service"" ...\n    ""values"" ...\n    <Q_IRI_REF> ...\n    <PNAME_NS> ...\n    <PNAME_LN> ...\n    <BLANK_NODE_LABEL> ...\n    <VAR1> ...\n    <VAR2> ...\n    <INTEGER> ...\n    <INTEGER_POSITIVE> ...\n    <INTEGER_NEGATIVE> ...\n    <DECIMAL> ...\n    <DECIMAL_POSITIVE> ...\n    <DECIMAL_NEGATIVE> ...\n    <DOUBLE> ...\n    <DOUBLE_POSITIVE> ...\n    <DOUBLE_NEGATIVE> ...\n    <STRING_LITERAL1> ...\n    <STRING_LITERAL2> ...\n    <STRING_LITERAL_LONG1> ...\n    <STRING_LITERAL_LONG2> ...\n    '"
7,voter_1,What are the contestant numbers and names of the contestants who had at least two votes?,"SELECT T1.contestant_number , T1.contestant_name FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number GROUP BY T1.contestant_number HAVING count(*)  >=  2",,select ?t1_contestant_number ?t1_contestant_name where { contestants as t1 join votes as t2        } group by ?t1_contestant_number ?t1_contestant_name   having(count( *)  >= 2),,medium,,-2,"QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. 

Response:
b'MALFORMED QUERY: Lexical error at line 1, column 107.  Encountered: "" "" (32), after : ""contestants""'"
8,voter_1,"Of all the contestants who got voted, what is the contestant number and name of the contestant who got least votes?","SELECT T1.contestant_number , T1.contestant_name FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number GROUP BY T1.contestant_number ORDER BY count(*) ASC LIMIT 1",,select ?t1_contestant_number ?t1_contestant_name where { contestants as t1 join votes as t2        } group by ?t1_contestant_number ?t1_contestant_name  order by asc (count(*)) limit 1,,extra,,-2,"QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. 

Response:
b'MALFORMED QUERY: Lexical error at line 1, column 107.  Encountered: "" "" (32), after : ""contestants""'"
9,voter_1,What are the number of votes from state 'NY' or 'CA'?,SELECT count(*) FROM votes as T1 join area_code_state as T2 on T1.area_code = T2.area_code WHERE state  =  'NY' OR state  =  'CA',,select (count( *) as ?aggregation_all) where { votes as t1 join area_code_state as t2 FILTER(?t2_state = 'NY' || ?t2_state = 'CA') .        },,hard,,-2,"QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. 

Response:
b'MALFORMED QUERY: Lexical error at line 1, column 91.  Encountered: "" "" (32), after : ""votes""'"
